mp_name.x,mp_name.y
nageshgodam,godamnagesh
ramshankar,ramshankarkatheria
kiritsolanki,kiritpremjibhaisolanki
dilipgandhi,dilipkumarmansukhlalgandhi
devendraaliasbholesingh,devendrasinghbholesingh
sanjaydhotre,sanjayshamraodhotre
satishkumargautam,satishkumar
chandnath,karansinghyadav
ravindrababupandula,pandularavindrababu
naranbhaikachhadiya,naranbhaikachhadia
captainamarindersingh,amarindersingh
muthamsettisrinivasarao,muttamsettisrinivasaraoavanthi
jcdivakarreddy,jcdivakarreddi
geethakothapalli,kothapalligeetha
aparupapoddar,aparupapoddarafrinali
taslimuddin,tasleemuddin
rksingh,rajkumarsingh
babulsupriyo,babulsupriyabaralbabulsupriyo
asampath,anirudhansampath
sushilkumarsingh,chandrakantbhauraokhaire
chandrakantbkhaire,chandrakantbhauraokhaire
sadhvisavitribaiphule,savitribaifoole
kmarpitaghosh,arpitaghosh
kapilkrishnathakur,mamatathakur
jayprakashnarayanyadav,jaiprakashnarayanyadav
devvarmamoonmoonsen,sreematidevvarmamoonmoonsen
srirammalyadri,malyadrisriram
parbhubhaivasava,vasavaparbhubhainagarbhai
santoshgangwar,santoshkumargangwar
sonaramchoudhary,sonaram
harishdwivedi,harishchandraaliasharishdwivedi
bholasingh,drbholasingh
sureshcangadi,sureshchannabasappaangadi
shaileshkumarbulomandal,shaileshkumarurphbulomandal
mansukhabhaivasava,mansukhbhaidvasava
bharatishiyal,bharatibendhirubhaishiyal
subhashchandrabaheriya,subhashbaheria
dharamveersingh,dharambir
profprasannakumarpatasani,prasannakumarpatasani
rameshcjigajinagi,rameshchandappajigajinagi
kunwarbhartendrasingh,bharatendrasingh
satabdiroybanerjee,satabdiroy
pratapraoganpatraojadhav,jadhavpratapraoganpatrao
rdhruvanarayana,dhruvanarayanarangaswamy
kirronkher,kirronanupamkher
srvijaykumar,srvijayakumar
jayakumarjayavardhan,jjayavardhan
ramsinhrathwa,ramsinhbhaipatalyabhairathwa
renukasinha,parthapratimray
jasvantsinhbhabhor,jasvantsinhsumanbhaibhabhor
lalubhaibpatel,lalubhaibabubhaipatel
kirtiazad,kirtijhaazad
harishmeena,harishchandrameena
gmsiddeshwara,gowdarmallikarjunappasiddeswara
pralhadjoshi,pralhadvenkateshjoshi
rameshwarteli,rameswarteli
venakateswararaomagannti,magantivenkateswararaobabu
rajveersingh,rajveersinghrajubhaiya
ashokkumardohrey,ashokkumardoharey
sadhviniranjanjyoti,niranjanjyoti
lkadvani,lalkrishnaadvani
nihalchandchauhan,nihalchand
majgenretdbckhanduriavsm,bhuwanchandrakhanduri
bijoyachakraborty,bijoyachakravarty
deepakdevadhikari,adhikarideepakdev
genretdvksingh,vijaykumarsingh
vinodkhanna,sunilkumarjakhar
anuragsinghthakur,pushpendrasinghchandel
pushpendrasinghchandel,anuragsinghthakur
rajeshdiwakar,rajeshkumardiwaker
shivkumarcudasi,udasishivkumarchanabasappa
ratnadenag,ratnade
advocatejoicegeorge,joicegeorge
raosahebdanvepatil,raosahebpatildanve
devjimansingrampatel,devjipatel
jugalkishoresharma,jugalkishore
chiragpaswan,chiragkumarpaswan
krishnpratapsingh,krishnapratapkp
birendrakumarchoudhary,birendrakumarchaudhary
rajeshbhainaranbhaichudasama,chudasamarajeshbhainaranbhai
vinodchavda,chavdavinodlakhamashi
narasimhamthota,thotanarasimham
gauravgogoi,gouravgogoi
vikramusendi,vikramdevusendi
ponradhakrishnan,pradhakrishnan
sisiradhikari,sisirkumaradhikari
bvinodkumar,vinodkumarboinapally
mthambidurai,munisamythambidurai
"baijyayant""jay""panda",baijayantjaypanda
choudharymehboobalikaiser,mahboobalikaiser
psrinivasareddy,ponguletisrinivasareddy
nandkumarsinghchauhan,nandkumarsinghchouhannandubhaiya
devusinhjesingbhaichauhan,chauhandevusinhjesingbhai
mohammadasrarulhaque,asrarulhaquemohammad
dhananjaymahadik,dhananjaybhimraomahadik
sangannakaradi,karadisangannaamarappa
renukabutta,buttarenuka
rajeshpandey,rajeshpandeyurfguddu
faizalppmohammad,ppmohammedfaizal
neelamsonker,neelamsonkar
sunilgaikwad,sunilbaliramgaikwad
ravneetsinghbittu,ravneetsingh
ramcharitra,ramcharitranishad
vijaysinhmohitepatil,vijaysinhshankarraomohitepatil
rajeshranjan,rajeshranjanpappuyadav
hukmdeonarayanyadav,hukamdeonarayanyadav
seetaramajmeeranaik,azmeeraseetaramnaik
pankajchowdhary,janardansinghsigriwal
janardansinghsigriwal,pankajchowdhary
jayshreebenpatel,jayshreebenkanubhaipatel
eahamed,pkkunhalikutty
ahkhanchoudhary,abuhasemkhanchoudhury
chmallareddy,mallareddy
sudheergupta,sudhirgupta
kodikunnilsuresh,sureshkodikunnil
anupriyapatel,anupriyasinghpatel
kunwarsarveshkumar,kunwersarveshkumar
poonammahajan,poonammahajanaliaspoonamvajendlarao
arvindganpatsawant,arvindsawant
mdbadaruddozakhan,badaruddozakhan
sanjeevbalyan,sanjeevkumarbalyan
nandiyellaiah,yellaiahnandi
crchaudhary,crchoudhary
guthasukhenderreddy,sukenderreddygutha
heenavijaygavit,heenavaijaykumargavit
rayapatisambasivarao,sambasivarayapatirao
hemanttukaramgodse,godsehemanttukaram
mrajamohanreddy,mekapatirajamohanreddy
meenakshilekhi,meenakashilekhi
gopalakrishnanchinnaraj,cgopalakrishnan
kavithakalvakuntala,kalvakuntlakavitha
chintamanwanaga,chintamannavashawanga
prabhatsinhchouhan,prabhatsinhpratapsinhchauhan
sanjayharibhaujadhav,sanjaybanduharibhaujadhav
liladharbhaivaghela,liladharbhaikhodajivaghela
etmohammadbasheer,etmohammedbasheer
vittalbhaihansrajbhairadadiya,vitthalbhaihansrajbhairadadiya
kunwarharibanshsingh,haribanshsingh
mohammadsalim,mdsalim
vishnudevsai,vishnudeosai
magantimuralimohan,muralimohanmaganti
midhunreddy,pvmidhunreddy
mohanbhaikundariya,mohanbhaikalyanjibhaikundariya
,dileepsinghbhuria
rakshakhadse,rakshanikhilkhadase
dipsinhshankarsinhrathod,rathoddipsinhshankarsinh
vpanneerselvam,vpannerselvam
ravinderkushwaha,ravindrakushawaha
sanjaykakaramchandrapatil,sanjaykakapatil
udayanrajepratapsinghbhonsle,mantchhudyanrajepratapsinhmaharajbhonsle
virendrakashyap,virenderkashyap
shivajiapatil,shivajiadhalraopatil
kmsushmitadev,sushmitadev
rameshkaushik,rameshchanderkaushik
kinjarapurammohannaidu,rammohannaidukinjarapu
devajibhaifatepara,fateparadevajibhaigovindbhai
jjayasinghthiyagarajnaterjee,jjeyasinghthiyagarajnatterjee
varaprasadaraovelagapalli,varaprasadraovelagapalli
sukhbirsinghjaunpuria,sukhbirsinghjaunapuria
jitendrachaudhury,jitendrachoudhury
pasangma,conradkongkalsangma
kmshobhakarandlaje,shobhakarandlaje
sultanahmed,sajdaahmed
swamisakshijimaharaj,swamisachchidanandharisakshi
mullappallyramachandran,ramachandranmullappally
balasubramaniansenguttuvan,bsenguttuvan
srinivaskesineni,kesinenisrinivas
haribabukhambhapati,kambhampatiharibabu
ashokgajapatiraju,ashokgajapathirajupusapati
ramdastadas,ramdaschandrabhanjitadas
bhavanagawali,bhavanapundlikraogawalipatil
bheemaraobpatil,bheemraobpatil
sanwarlaljat,raghusharma
prakashbhukkeri,prakashbabannahukkeri
manojkumarsinha,manojsinha
sushreeumabharati,umabharati
jualoram,jualjueloram
pratyusharajeshwarisingh,hemendrachandrasingh
mamatathakur,kapilkrishnathakur
raoinderjitsingh,inderjitsinghrao
georgebaker,richardhay
richardhay,georgebaker
kantilalbhuria,dileepsinghbhuria
dayakarpasunoori,kadiyamsrihari
cksangma,conradkongkalsangma
parthapratimray,renukasinha
pradanbaruah,sarbanandasonowal
gyansingh,dalpatsinghparaste
dibyenduadhikari,suvenduadhikari
gurjeetsinghaujla,amarindersingh
pkkunhalikutty,eahamed
farooqabdullah,tariqhameedkarra
sunilkumarjakhar,vinodkhanna
raghusharma,sanwarlaljat
karansinghyadav,chandnath
sajdaahmed,sultanahmed
